Exe,Cycle
69.751000,36.510000
3.598000,75.658000
3.729000,62.508000
3.212000,38.663000
4.199000,70.946000
6.121000,61.291000
3.325000,48.188000
3.313000,71.054000
4.290000,62.031000
3.254000,47.870000
3.318000,68.566000
4.581000,67.860000
3.283000,41.112000
3.429000,70.772000
3.387000,72.039000
3.342000,33.041000
3.535000,71.333000
3.302000,63.280000
3.271000,45.685000
3.319000,68.540000
3.339000,61.941000
3.177000,46.528000
3.455000,62.047000
4.175000,69.673000
3.303000,45.174000
2.735000,57.139000
3.341000,68.401000
2.673000,36.921000
2.923000,66.219000
3.086000,75.482000
5.523000,49.843000
3.477000,56.377000
3.299000,61.104000
3.208000,37.853000
3.170000,69.336000
4.638000,78.442000
3.281000,43.448000
3.294000,60.326000
5.089000,55.931000
4.174000,48.855000
3.328000,68.442000
4.942000,63.089000
2.981000,46.699000
3.480000,71.114000
3.929000,60.306000
3.151000,47.236000
3.456000,61.812000
3.559000,71.815000
3.294000,43.466000
2.847000,64.221000
3.102000,67.676000
2.724000,78.110000
2.761000,44.595000
4.117000,54.336000
3.646000,34.771000
3.329000,73.215000
5.100000,56.782000
7.364000,52.081000
3.393000,67.786000
4.478000,59.395000
3.301000,47.730000
3.281000,71.423000
4.097000,61.405000
3.267000,46.886000
3.455000,69.969000
4.881000,63.799000
3.504000,44.979000
3.311000,71.395000
3.510000,59.762000
3.245000,46.537000
3.012000,61.539000
4.475000,71.121000
3.268000,46.470000
3.118000,65.904000
3.261000,67.348000
3.537000,44.742000
3.397000,62.866000
3.336000,81.022000
2.775000,26.968000
3.780000,72.362000
2.976000,69.238000
3.232000,35.032000
3.135000,71.766000
3.817000,73.602000
3.003000,34.358000
3.309000,72.810000
5.310000,58.698000
3.390000,49.902000
3.334000,70.273000
3.721000,64.259000
3.308000,45.309000
3.308000,71.573000
4.676000,59.040000
3.159000,47.524000
3.117000,69.673000
4.905000,62.507000
3.708000,45.198000
5.022000,83.537000
4.633000,48.693000
3.579000,46.591000
3.547000,68.619000
4.097000,63.058000
3.204000,45.437000
3.285000,61.231000
3.109000,70.473000
3.182000,45.659000
3.760000,62.460000
4.026000,72.333000
3.108000,44.003000
3.088000,65.404000
3.174000,68.697000
2.956000,34.330000
3.002000,70.372000
3.043000,77.729000
2.685000,31.674000
3.225000,70.054000
4.154000,58.399000
3.388000,47.343000
3.191000,71.552000
4.839000,61.201000
3.945000,45.239000
4.625000,83.111000
4.575000,47.469000
3.147000,47.675000
3.202000,70.299000
4.165000,62.684000
3.200000,46.000000
3.217000,70.680000
4.307000,60.507000
3.177000,52.094000
3.665000,56.650000
4.096000,80.104000
3.252000,38.952000
3.177000,63.401000
3.317000,67.877000
3.932000,37.240000
3.332000,70.868000
3.310000,74.792000
2.996000,32.875000
4.013000,71.611000
3.646000,59.993000
3.077000,48.334000
3.017000,69.487000
3.927000,70.544000
3.648000,37.235000
3.259000,77.227000
5.200000,51.628000
3.533000,49.043000
3.211000,69.499000
4.800000,60.952000
3.128000,45.922000
3.312000,70.703000
4.923000,60.041000
3.133000,47.404000
3.369000,70.778000
4.023000,70.047000
3.165000,40.181000
3.386000,63.343000
3.197000,71.877000
3.244000,42.782000
4.102000,61.119000
3.201000,74.102000
2.520000,32.361000
3.570000,74.576000
3.844000,60.376000
2.949000,46.554000
5.209000,72.137000
4.760000,59.534000
3.147000,45.925000
2.914000,72.717000
3.753000,59.569000
3.110000,47.260000
2.863000,69.250000
4.696000,72.670000
2.994000,37.159000
2.986000,70.858000
4.358000,59.581000
3.090000,51.297000
3.278000,66.473000
3.251000,63.544000
3.524000,45.307000
3.252000,70.347000
3.047000,65.009000
3.251000,42.445000
3.525000,63.406000
4.066000,74.854000
3.122000,41.688000
3.168000,63.318000
3.306000,70.134000
2.609000,61.395000
6.968000,96.569000
4.876000,115.412000
5.135000,59.413000
5.076000,59.963000
3.687000,62.700000
2.744000,42.315000
4.814000,61.674000
5.263000,70.836000
3.202000,47.136000
4.366000,59.393000
5.125000,71.143000
3.528000,45.961000
4.649000,61.128000
5.138000,71.573000
3.239000,45.335000
3.986000,60.553000
